1982,0.00194,0.616,208332,0.908,0.00235,10,0.0345,-6.867,0,0.0551,92.984,4.0,0.81,U got 2 believe,Paulo Mendonca
1983,0.626,0.682,224000,0.518,0.43,8,0.0552,-10.089,1,0.227,118.539,4.0,0.963,Sah,Al Massrieen
1984,0.119,0.904,217587,0.517,0.0147,7,0.176,-7.287,0,0.0598,96.999,4.0,0.722,Oh Devil,Electric Guest
1985,0.00701,0.578,199080,0.866,0.0,1,0.257,-3.804,1,0.0619,128.038,4.0,0.619,Shut Up and Dance,WALK THE MOON
1986,0.00173,0.472,321280,0.844,0.0,10,0.24,-6.578,1,0.054,140.034,4.0,0.343,Anna Sun,WALK THE MOON
1987,0.0283,0.421,175907,0.831,0.0,4,0.464,-5.128,1,0.107,134.027,4.0,0.489,Work This Body,WALK THE MOON
1988,8.39e-05,0.467,209187,0.794,0.00204,1,0.103,-6.174,0,0.0349,162.435,4.0,0.577,Tightrope,WALK THE MOON
1989,0.000797,0.48,222053,0.826,1.01e-06,0,0.125,-4.602,1,0.0397,96.0,4.0,0.701,Different Colors,WALK THE MOON
1990,0.00059,0.594,218720,0.858,3.11e-06,9,0.0642,-4.339,1,0.0387,138.021,4.0,0.646,Avalanche,WALK THE MOON
1991,0.000366,0.544,245133,0.788,0.0,5,0.141,-5.593,0,0.0474,148.121,4.0,0.821,Jenny,WALK THE MOON
1992,0.00749,0.446,241253,0.881,0.0,2,0.13,-4.368,1,0.0545,169.889,4.0,0.428,Portugal,WALK THE MOON
1993,0.0019,0.551,195280,0.732,0.0,9,0.0764,-6.081,1,0.0627,145.107,4.0,0.628,Quesadilla,WALK THE MOON
1994,0.51,0.63,240000,0.772,2.26e-05,1,0.0881,-6.986,1,0.0297,99.964,4.0,0.714,Aquaman,WALK THE MOON
1995,0.0202,0.333,174240,0.913,0.0,2,0.146,-3.722,1,0.0808,99.889,4.0,0.129,Paris - Pegboard Nerds Remix,The Chainsmokers
1996,0.00363,0.743,259889,0.889,0.143,10,0.383,-5.567,1,0.0409,103.963,4.0,0.186,Quit You - Wuki Remix,Lost Kings
1997,0.00087,0.465,265600,0.953,0.0146,8,0.226,-4.684,0,0.295,160.064,4.0,0.554,Don't Let Me Down - Zomboy Remix,The Chainsmokers
1998,0.0316,0.68,211853,0.725,1.81e-05,6,0.112,-3.92,1,0.0611,140.048,4.0,0.26,Faded - Slushii Remix,Alan Walker
1999,0.00499,0.619,245656,0.949,0.000418,6,0.179,-4.64,0,0.0658,149.935,4.0,0.257,Can't Get Enough - Pegboard Nerds Remix,Tommie Sunshine
2000,0.0935,0.52,231667,0.809,0.0035,1,0.0939,-4.18,1,0.05,170.032,4.0,0.362,Light - Loosid Remix,San Holo
2001,0.00262,0.484,224320,0.609,0.0,11,0.339,-5.652,0,0.0303,131.049,4.0,0.266,Something Just Like This - ARMNHMR Remix,The Chainsmokers
2002,0.0301,0.583,224092,0.891,3.25e-06,7,0.129,-3.495,1,0.447,149.843,4.0,0.321,Without U,Steve Aoki
2003,0.000461,0.562,201031,0.96,0.0383,9,0.716,-2.981,1,0.0692,159.927,4.0,0.311,Hold Up,Borgeous
2004,0.0969,0.595,198400,0.975,0.0,8,0.102,-2.339,0,0.364,150.001,4.0,0.183,Phone Down - Dodge & Fuski Remix,Lost Kings
2005,0.0216,0.526,216072,0.825,1.39e-06,5,0.426,-3.506,0,0.0875,150.181,4.0,0.108,Spoon Me - Slushii Remix,Elliphant
2006,0.178,0.501,202839,0.683,2.7e-06,1,0.385,-4.261,0,0.0651,154.901,4.0,0.307,Scared To Be Lonely (Conro Remix),Martin Garrix
2007,0.00217,0.639,296276,0.978,0.112,11,0.0838,-2.376,1,0.073,144.986,4.0,0.494,Let It Go - Scott Melker & Mister Gray Remix,NERVO
2008,0.0541,0.646,160408,0.714,0.0,0,0.134,-6.511,1,0.0378,97.957,4.0,0.589,"Call On Me - EDWYNN X TIKAL, Spirix Remix",Starley
2009,0.00499,0.595,224000,0.837,0.0359,1,0.101,-6.011,1,0.0696,149.964,4.0,0.331,Aamon,Kuuro
2010,0.00231,0.624,206013,0.971,0.121,6,0.255,-0.935,0,0.0643,102.003,4.0,0.442,Hey Baby - Steve Aoki Remix,Dimitri Vegas & Like Mike
2011,0.000586,0.528,245053,0.879,0.00489,6,0.0432,-5.891,0,0.12,128.268,4.0,0.327,Brightside - Borgeous Remix,Icona Pop
2012,0.00106,0.584,274404,0.932,0.00269,1,0.129,-3.501,1,0.333,74.976,4.0,0.211,Like A Bitch - Kill The Noise Remix,Kill The Noise
2013,0.0877,0.894,182182,0.892,0.00167,1,0.0528,-2.663,1,0.131,110.041,4.0,0.867,Candy,Dillon Francis
2014,0.00857,0.637,207200,0.935,0.00399,0,0.214,-2.467,1,0.107,150.082,4.0,0.47,Habit - Dack Janiels & Wenzday Remix,Rain Man
2015,0.00164,0.557,185600,0.992,0.677,1,0.0913,-2.735,1,0.133,150.011,4.0,0.623,First Contact,Twin Moons
2016,0.00281,0.446,204520,0.915,3.87e-05,9,0.218,-6.221,1,0.141,190.013,4.0,0.402,I Wanna Get Better,Bleachers
