A,76,51
A,43,27
A,46,48
A,65,4
A,18,14
A,72,55
A,60,66
A,13,67
A,65,93
A,26,34
A,71,2
A,96,85
A,69,76
A,22,93
A,81,75
A,78,1
A,43,33
A,12,75
A,84,14
A,66,88
A,91,15
A,83,85
A,11,97
A,13,70
A,66,47
A,96,70
A,81,12
A,5,3
A,77,37
A,7,22
A,89,88
A,86,8
A,31,99
A,97,59
A,19,97
A,49,63
A,47,63
A,30,75
A,97,1
A,23,20
A,53,27
A,73,79
A,85,33
A,71,66
A,19,73
A,25,27
A,26,54
A,53,80
A,80,82
A,80,31
B,98,8
B,19,51
B,91,91
B,55,22
B,19,88
B,83,15
B,83,77
B,100,66
B,37,45
B,46,78
B,18,81
B,42,58
B,77,40
B,56,59
B,65,36
B,84,79
B,61,39
B,71,77
B,63,76
B,78,85
B,68,57
B,61,58
B,14,53
B,69,19
B,23,63
B,83,70
B,26,84
B,84,28
B,14,97
B,49,93
B,86,60
B,12,3
B,76,1
B,90,84
B,30,14
B,71,81
B,50,91
B,36,90
B,37,78
B,64,98
B,99,25
B,29,11
B,48,8
B,69,3
B,22,24
B,74,22
B,70,60
B,83,75
B,100,47
B,74,2
