40,1
43,1
70,1
48,1
86,1
67,1
40,1
47,1
35,1
3,1
65,1
69,1
91,1
32,1
81,1
26,1
94,1
32,1
75,1
1,1
89,1
1,1
43,1
61,1
39,1
40,1
63,1
80,1
17,1
10,1
6,1
10,1
11,1
38,1
61,1
2,1
77,1
80,1
85,1
2,1
49,1
20,1
30,1
38,1
48,1
3,1
49,1
87,1
30,1
65,1
35,0
44,0
93,0
29,0
63,0
2,0
49,0
13,0
35,0
10,0
35,0
54,0
43,0
5,0
46,0
17,0
4,0
74,0
42,0
18,0
46,0
70,0
3,0
78,0
4,0
38,0
33,0
21,0
70,0
29,0
34,0
38,0
17,0
44,0
10,0
14,0
49,0
90,0
100,0
9,0
54,0
47,0
53,0
34,0
79,0
36,0
75,0
11,0
11,0
29,0
