76,51
43,27
46,48
65,4
18,14
72,55
60,66
13,67
65,93
26,34
71,2
96,85
69,76
22,93
81,75
78,1
43,33
12,75
84,14
66,88
91,15
83,85
11,97
13,70
66,47
96,70
81,12
5,3
77,37
7,22
89,88
86,8
31,99
97,59
19,97
49,63
47,63
30,75
97,1
23,20
53,27
73,79
85,33
71,66
19,73
25,27
26,54
53,80
80,82
80,31
98,8
19,51
91,91
55,22
19,88
83,15
83,77
100,66
37,45
46,78
18,81
42,58
77,40
56,59
65,36
84,79
61,39
71,77
63,76
78,85
68,57
61,58
14,53
69,19
23,63
83,70
26,84
84,28
14,97
49,93
86,60
12,3
76,1
90,84
30,14
71,81
50,91
36,90
37,78
64,98
99,25
29,11
48,8
69,3
22,24
74,22
70,60
83,75
100,47
74,2
